Terminal log file
Date: 16/04/2018 - 10:30:46
-----------------------------------------------
VerNo,count,reset,prealm,spike,alarm,gain,eauto,ecross,eamulr,FLA,FLA Avg,               FLA clip,FLB,FLB Avg,FLB clip,GU,GU Avg,GU clip,Sun,Sun Avg,Settling,Win Test,                 Temp,Fault,Bias,m10,m11,m12,m13,m14 NF,m15 vid mon,m16 moisture,m17 4_20ma,                   m30 24Vmon,m31 Temp,m32 walk test,m33 4.4V mon,m34 loop back,m35 sysflt,                     m36 15v mon,m37 relay,IR req,ch flag,ack,ENQ sent 


0.994,1,0,0,0,0,1,1600,25088,959391,139,139,-1,139,139,-1,143,140,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,0,110,119,250,232,196,0,0,0,0,FFAE,0,
0.994,2,0,0,0,0,1,1600,78848,975561,137,139,-1,139,139,-1,132,140,-1,139,139,0,-1,21,1,139,5,6,6,6,0,0,211,13,110,119,250,232,196,0,100,0,0,FFAE,0,
0.994,3,0,0,0,0,1,1024,54528,968246,139,139,-1,139,139,-1,138,139,-1,139,139,0,-1,21,1,139,5,6,6,6,0,0,211,13,110,119,251,232,196,0,100,0,0,FFAE,0,
0.994,4,0,0,0,0,1,576,8064,954270,138,139,-1,139,139,-1,139,139,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,120,251,232,196,0,100,0,0,FFAE,0,
0.994,5,0,0,0,0,1,63104,545920,1116047,139,139,-1,140,139,-1,142,139,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,119,250,232,196,0,100,0,0,FFAE,0,
0.994,6,0,0,1,0,0,288742218,527114120,159497886,110,149,-1,115,149,-1,137,148,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,120,250,232,196,0,100,0,0,FFAE,0,
0.994,7,0,0,1,0,0,3138578954,3120262320,1402632184,144,139,-1,144,140,-1,140,145,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,120,251,232,196,0,100,0,0,FFAE,0,
0.994,8,0,0,1,1,0,2802848118,2680335280,1205008709,119,134,-1,127,136,-1,137,142,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,120,251,232,196,0,100,0,0,FFAE,0,
0.994,9,0,0,1,1,0,97504162,215234600,65690374,135,136,-1,134,136,-1,138,141,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,119,251,232,196,0,100,0,0,FFAE,0,
0.994,10,0,0,1,0,0,124575780,183984080,56290806,145,139,-1,145,139,-1,140,141,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,119,251,232,196,0,100,0,0,FFAE,0,
0.994,11,0,0,1,0,1,46110452,38980336,12676399,255,145,-1,248,145,-1,151,142,-1,139,139,0,-1,22,1,139,5,6,6,6,0,0,211,13,110,120,250,232,196,0,101,0,0,FFAE,0,
0.994,12,0,0,1,1,0,258175506,658596832,199045423,146,139,-1,144,139,-1,140,137,-1,138,139,0,-1,22,1,139,0,0,6,6,0,0,211,13,110,119,250,232,196,0,101,0,0,FFAE,0,
